ci_player_id,first_name,middle_name,last_name,nick_name,nationality_code,date_of_birth,gender,height_cm,weight_kg,role,batting_hand,bowling_hand,bowling_type,bowling_style
1060380,Ruturaj,Dashrat,Gaikwad,Ruturaj Gaikwad,IND,1997-01-31,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
425943,Sanju,,Samson,Sanju Samson,IND,1994-11-11,MALE,,,WICKET_KEEPER,RIGHT,RIGHT,SPIN,
714451,Shivam,,Dube,Shivam Dube,IND,1993-06-26,MALE,,,ALL_ROUNDER,LEFT,RIGHT,PACE,RM
1070665,Dewald,,Brevis,Dewald Brevis,RSA,2003-04-29,MALE,,,BATTER,RIGHT,RIGHT,SPIN,RLB
28081,Mahendra Singh,,Dhoni,MS Dhoni,IND,1981-07-07,MALE,,,WICKET_KEEPER,RIGHT,RIGHT,PACE,RM
1123718,Spencer,Henry,Johnson,Spencer Johnson,AUS,,MALE,,,BOWLER,LEFT,LEFT,PACE,LAF
530812,Akeal,,Hosein,Akeal Hosein,WI,1993-04-25,MALE,,,BOWLER,LEFT,LEFT,SPIN,LOB
1182529,Noor,,Ahmad,Noor Ahmad,AFG,2005-01-03,MALE,,,BOWLER,RIGHT,LEFT,SPIN,LLB
1064812,Rahul,,Charar,Rahul Chahar,IND,1999-08-04,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1452455,Ayush,,Mhatre,Ayush Mhatre,IND,2007-07-16,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
642525,Sarfaraz,,Khan,Sarfaraz Khan,IND,1997-10-22,MALE,,,BATTER,RIGHT,RIGHT,SPIN,RLB
1175428,Anshul,,Kamboj,Anshul Kamboj,IND,2000-12-06,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
942645,Khaleel,,Ahmed,Khaleel Ahmed,IND,1997-12-05,MALE,,,BOWLER,RIGHT,LEFT,PACE,LFM
1459392,Kartik,,Sharma,Kartik Sharma,IND,2006-04-26,MALE,,,WICKET_KEEPER,RIGHT,RIGHT,PACE,
1131570,Urvil,,Patel,Urvil Patel,IND,1998-10-17,MALE,,,WICKET_KEEPER,RIGHT,,PACE,
510530,Jamie,,Overton,Jamie Overton,ENG,1994-04-10,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RAF
605575,Matthew,,Short,Matthew Short,AUS,1995-11-08,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,SPIN,ROB
1403197,Prashant,,Veer,Prashant Veer,IND,2005-11-24,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
1339053,Ramakrishna,,Ghosh,Ramakrishna Ghosh,IND,1997-08-28,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RFM
1202098,Zak,,Foulkes,Zak Foulkes,NZL,2002-06-05,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RM
506612,Matt,,Henry,Matt Henry,NZL,1991-12-14,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
1125688,Mukesh,,Choudhary,Mukesh Choudhary,IND,1996-07-06,MALE,,,BOWLER,LEFT,LEFT,PACE,LFM
344580,Shreyas,,Gopal,Shreyas Gopal,IND,1993-09-04,MALE,,,BOWLER,RIGHT,RIGHT,SPIN,RLB
1254269,Aman,,Khan,Aman Khan,IND,1996-11-23,MALE,,,ALL_ROUNDER,RIGHT,RIGHT,PACE,RM
1269869,Gurjapneet,,Singh,Gurjapneet Singh,IND,1998-11-08,MALE,,,BOWLER,RIGHT,LEFT,PACE,LFM
554691,Axar,Rajeshbhai,Patel,Axar Patel,IND,1994-01-20,MALE,,,ALL_ROUNDER,LEFT,LEFT,SPIN,LOB
422108,Kannaur,Lokesh,Rahul,KL Rahul,IND,1989-06-10,MALE,,,WICKET_KEEPER,RIGHT,RIGHT,,
311592,Mitchell,Aaron,Starc,Mitchell Starc,AUS,1990-01-30,MALE,,,BOWLER,LEFT,LEFT,PACE,LAF
321777,David,,Miller,David Miller,RSA,1989-06-10,MALE,,,BATTER,LEFT,RIGHT,SPIN,ROB
604527,Nitish,,Rana,Nitish Rana,IND,1993-12-27,MALE,,,ALL_ROUNDER,LEFT,RIGHT,SPIN,ROB
595978,Tristan,,Stubbs,Tristan Stubbs,RSA,2000-08-14,MALE,,,WICKET_KEEPER,RIGHT,RIGHT,SPIN,ROB
1277545,Abishek,,Porel,Abishek Porel,IND,2002-10-17,MALE,,,WICKET_KEEPER,LEFT,,,
542023,Lungi,,Ngidi,Lungi Ngidi,RSA,1996-03-29,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
926851,Mukesh,,Kumar,Mukesh Kumar,IND,1993-10-12,MALE,,,BOWLER,RIGHT,RIGHT,PACE,RFM
559235,Kuldeep,,Yadav,Kuldeep Yadav,IND,1994-12-14,MALE,,,BOWLER,LEFT,LEFT,SPIN,LLB
1131978,Ashutosh,,Sharma,Ashutosh Sharma,IND,1998-09-15,MALE,,,BATTER,RIGHT,RIGHT,PACE,RM
398439,Karun,,Nair,Karun Nair,IND,2004-07-28,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
1070168,Prithvi,,Shaw,Prithvi Shaw,IND,1999-11-09,MALE,,,BATTER,RIGHT,RIGHT,SPIN,ROB
